Arquivo,Data,Hora,Vel_Regulamentada (Km/h),Vel_Medida (Km/h),Vel_Considerada (Km/h),Erro
214825\420891_11.jpg,18/08/2025,11H00MIN09S,20,40,,
214826\420893_11.jpg,1,11H00MIN12S,20,40,,
214827\420895_11.jpg,18/08/2025,11H00MIN,20,40,,
214828\420897_11.jpg,18/08/2025,11H00MIN1,20,40,,
214829\420899_11.jpg,18/08/2025,11H00MIN20S,20,40,,
214830\420901_11.jpg,18/08/2025,11H00MIN23S,20,40,,
214831\420903_11.jpg,18/08/2025,11H00MIN26S,20,40,,
214832\420905_11.jpg,18/08/2025,11H00MIN29S,20,40,,
214833\420907_11.jpg,18/08/2025,11H00MIN31S,20,40,,
214834\420909_11.jpg,18/08/2025,11H00MIN34S,20,40,,
214835\420911_11.jpg,18/08/2025,11H00MIN3,20,40,,
214836\420913_11.jpg,18/08/2025,11H00MIN40S,20,40,,
214837\420915_11.jpg,18/08/2025,11H00MIN42S,20,40,,
214838\420917_11.jpg,18/08/2025,11H00MIN45S,20,40,,
214839\420919_11.jpg,18/08/2025,11H00MIN48S,20,40,,
214840\420921_11.jpg,18/08/2025,11H00MIN,20,40,,
214841\420923_11.jpg,12,1,20,40,,
214842\420925_11.jpg,18/08/2025,11H00MIN56SI,20,40,,
214843\420927_11.jpg,18/08/2025,11H00MIN,20,40,,
214844\420929_11.jpg,18/08/2025,11H0IMIN01S,20,40,,
214845\420931_11.jpg,18/08/2025,11H0IMIN04S,20,40,,
214846\420933_11.jpg,18/08/2025,11H01IMIN07S,20,40,,
214847\420935_11.jpg,18/08/2025,11H01MINI0S,20,40,,
214848\420937_11.jpg,18/08/2025,11H01IMINI12S,20,40,,
214849\420939_11.jpg,18/08/2025,11H0IMIN,20,40,,
214850\420941_11.jpg,18/08/2025,11H0IMIN1S,20,40,,
214851\420943_11.jpg,18/08/2025,11H0IMIN2I1S,20,40,,
214852\420945_11.jpg,18/08/2025,11H0IMIN23S,20,40,,
214853\420947_11.jpg,18/08/2025,11H01MIN26S,20,40,,
214854\420949_11.jpg,18/08/2025,11H01MIN29S,20,40,,
214855\420951_11.jpg,18/08/2025,11H0IMIN31S,20,40,,
214856\420953_11.jpg,18/08/2025,11H0IMIN34S,20,40,,
214857\420955_11.jpg,18/08/2025,11H0IMIN37S,20,40,,
214858\420957_11.jpg,18/08/2025,11H01MIN40S,20,40,,
214859\420959_11.jpg,18/08/2025,11H01IMIN42S,20,40,,
214860\420961_11.jpg,18/08/2025,11H0IMIN45S,20,40,,
214861\420963_11.jpg,18/08/2025,11H0IMIN48S,20,40,,
214862\420965_11.jpg,18/08/2025,11H0IMIN,20,40,,
214863\420967_11.jpg,18/08/2025,11H0IMIN,20,40,,
214864\420969_11.jpg,18/08/2025,11H01MIN,20,40,,
214865\420971_11.jpg,18/08/2025,11H0IMIN59S,20,40,,
214866\420973_11.jpg,18/08/2025,11H02MIN01S,20,40,,
214867\420975_11.jpg,18/08/2025,11H02MIN04S,20,40,,
214868\420977_11.jpg,18/08/2025,11H02MIN07S,20,40,,
